asset_id;read_at;power
601;2024-08-08 11:00:00;295.74
601;2024-08-08 12:00:00;448.93
601;2024-08-08 13:00:00;494.02
601;2024-08-08 14:00:00;562.02
601;2024-08-08 15:00:00;794.29
601;2024-08-08 16:00:00;866.39
601;2024-08-08 17:00:00;280.75
601;2024-08-08 18:00:00;69.61
601;2024-08-08 19:00:00;272.45
601;2024-08-08 20:00:00;308.67
601;2024-08-08 21:00:00;341.67
601;2024-08-08 22:00:00;477.5
601;2024-08-08 23:00:00;1053.5
601;2024-08-09 00:00:00;810.5
601;2024-08-09 01:00:00;767
601;2024-08-09 02:00:00;1767.83
601;2024-08-09 03:00:00;2314.67
601;2024-08-09 04:00:00;2090
601;2024-08-09 05:00:00;3066.96
601;2024-08-09 06:00:00;1970.76
601;2024-08-09 07:00:00;1585.04
601;2024-08-09 08:00:00;675.4
601;2024-08-09 09:00:00;91.76
601;2024-08-09 10:00:00;8.03
601;2024-08-09 11:00:00;258.34
601;2024-08-09 12:00:00;690.82
601;2024-08-09 13:00:00;1624.73
601;2024-08-09 14:00:00;1736.19
601;2024-08-09 15:00:00;2834.7
601;2024-08-09 16:00:00;2177.7
601;2024-08-09 17:00:00;1859.43
601;2024-08-09 18:00:00;1969.64
601;2024-08-09 19:00:00;2129.59
601;2024-08-09 20:00:00;4428.33
601;2024-08-09 21:00:00;7842.83
601;2024-08-09 22:00:00;7548.67
601;2024-08-09 23:00:00;7364.33
601;2024-08-10 00:00:00;5158.67
601;2024-08-10 01:00:00;2438.5
601;2024-08-10 02:00:00;1675.33
601;2024-08-10 03:00:00;481
601;2024-08-10 04:00:00;219.76
601;2024-08-10 05:00:00;246.25
601;2024-08-10 06:00:00;107.84
601;2024-08-10 07:00:00;1.03
601;2024-08-10 08:00:00;248.26
601;2024-08-10 09:00:00;954.79
601;2024-08-10 10:00:00;372.47
601;2024-08-10 11:00:00;164
601;2024-08-10 12:00:00;528.87
601;2024-08-10 13:00:00;514.23
601;2024-08-10 14:00:00;539.08
601;2024-08-10 15:00:00;894.03
601;2024-08-10 16:00:00;2586.07
601;2024-08-10 17:00:00;2540.55
601;2024-08-10 18:00:00;1587.13
601;2024-08-10 19:00:00;1238.08
601;2024-08-10 20:00:00;1872
601;2024-08-10 21:00:00;1851.83
601;2024-08-10 22:00:00;5268.67
601;2024-08-10 23:00:00;3730.67
601;2024-08-11 00:00:00;3972.67
